Environment,Economic,Social,Food_nutrition,SFS_index,iso3c,country.name.en,Lang1,Lang2,Lang3,Language,code
0.213922983,0.019134828,0.196158453,0.707465983,0.154382707,DZA,Algeria,arabic,french,,french,fr
0.303472106,0.083961457,0.562184869,0.698014352,0.316217253,ARG,Argentina,spanish,,,spanish,es
0.388018479,0.22409048,0.677814236,0.787252812,0.464114547,AUS,Australia,english,,,english,en
0.173966358,0.15748542,0.634251814,0.806668722,0.34408492,AUT,Austria,german,,,german,de
0.14870628,0.011412908,0.718478679,0.693648867,0.170537465,AZE,Azerbaijan,azerbaijani,english,,english,en
0.122695515,0.002564091,0.500701324,0.617620666,0.099315193,BGD,Bangladesh,bengali,english,,english,en
0.117464414,0.052137697,0.629302042,0.719143744,0.229447459,BLR,Belarus,belarusian,russian,english,english,en
0.078796929,0.243984429,0.558591358,0.797691326,0.304228658,BEL,Belgium,dutch , french ,,french,fr
0.111090009,0.00408616,0.811248827,0.602790541,0.122061222,BEN,Benin,french ,,,french,fr
0.197464517,0.003642019,0.852214627,0.70266079,0.144056047,BWA,Botswana,english,,,english,en
0.385065182,0.035575852,0.651257147,0.718630333,0.282967724,BRA,Brazil,portuguese,,,portuguese,pt
0.175125818,0.073384466,0.562915156,0.726344585,0.269237154,BGR,Bulgaria,bulgarian,english,,english,en
0.122251036,0.001619087,0.887778641,0.616369077,0.102015719,BFA,Burkina Faso,french ,,,french,fr
0.127452206,0.003125153,0.875781052,0.589137756,0.119731317,KHM,Cambodia,khmer,french,,french,fr
0.23319846,0.005829935,0.823652176,0.646096937,0.164005245,CMR,Cameroon,french ,english,,french,fr
0.424684472,0.278935152,0.705368214,0.786750726,0.506355658,CAN,Canada,english, french ,,english,en
0.315206635,0.035242022,0.58773344,0.720107811,0.261853584,CHL,Chile,spanish,,,spanish,es
0.533190376,0.021741181,0.671855991,0.706376356,0.272345024,COL,Colombia,spanish,,,spanish,es
0.373772044,0.03103204,0.543116158,0.706810267,0.258317113,CRI,Costa Rica,spanish,,,spanish,es
0.248158923,0.009315592,0.608077269,0.657706747,0.174374452,CIV,Côte d’Ivoire,french ,,,french,fr
0.116193398,0.043365259,0.5935642,0.776884855,0.219551767,CZE,Czechia,czech,slovak,german,german,de
0.094717497,0.206661414,0.672968823,0.770611096,0.317416832,DNK,Denmark,danish,german,,german,de
0.210321841,0.031331853,0.606408021,0.67621948,0.227997858,DOM,Dominican Republic,spanish,,,spanish,es
0.343745089,0.023910124,0.568085142,0.724624607,0.241177179,ECU,Ecuador,spanish,,,spanish,es
0.119398801,0.018204613,0.265767912,0.689689491,0.141281206,EGY,Egypt,arabic,english,,english,en
0.181809105,0.01681989,0.571527952,0.713294076,0.187904083,SLV,El Salvador,spanish,,,spanish,es
0.181343192,0.001671657,0.89329637,0.608905866,0.113317897,ETH,Ethiopia,amharic,english,,english,en
0.112223517,0.263122442,0.634842987,0.782979322,0.348068399,FIN,Finland,finnish,swedish,english,english,en
0.265225116,0.310775432,0.585333904,0.769319661,0.43892767,FRA,France,french ,,,french,fr
0.198324496,0.134009424,0.632095708,0.788033728,0.339203119,DEU,Germany,german,,,german,de
0.187125996,0.005845602,0.876383766,0.614400717,0.155785617,GHA,Ghana,english,,,english,en
0.168025067,0.054826094,0.510079164,0.745855228,0.243311915,GRC,Greece,greek,english,,english,en
0.31731305,0.009139651,0.481053026,0.692235867,0.176285318,GTM,Guatemala,spanish,,,spanish,es
0.229179038,0.001027356,0.920931535,0.629217289,0.108076432,GIN,Guinea,french ,,,french,fr
0.25684491,0.011809499,0.549236689,0.685400693,0.183823752,HND,Honduras,spanish,,,spanish,es
0.130130514,0.058284745,0.539128517,0.720135488,0.23294862,HUN,Hungary,hungarian,english,,english,en
0.124216064,0.004475604,0.31191535,0.632932958,0.102354273,IND,India,hindi,english,,english,en
0.461293134,0.008847568,0.590353234,0.744390192,0.205791945,IDN,Indonesia,indonesian,english,,english,en
0.231947516,0.189875412,0.455087109,0.79214423,0.354968089,ITA,Italy,italian,,,italian,it
0.254051483,0.185398322,0.567818542,0.790222532,0.381282285,JPN,Japan,japanese,english,,english,en
0.146498969,0.02709796,0.16677293,0.687322438,0.146054288,JOR,Jordan,arabic,english,,english,en
0.240680037,0.025168908,0.767755962,0.689632755,0.237977765,KAZ,Kazakhstan,kazakh,russian,english,english,en
0.259104351,0.003047154,0.721770789,0.580792341,0.134879926,KEN,Kenya,english,swahili,,english,en
0.107355793,0.159302211,0.557223511,0.725019164,0.288307906,KWT,Kuwait,arabic,english,,english,en
0.154523021,0.003554776,0.901978724,0.59851075,0.13122556,LAO,Laos,lao,english,,english,en
0.221070815,0.001210353,0.971715779,0.602055125,0.111854825,MDG,Madagascar,french ,malagasy,,french,fr
0.164317814,0.001646749,0.941669494,0.592018885,0.110824686,MWI,Malawi,english,chichewa,,english,en
0.452389933,0.069467642,0.571643852,0.704201734,0.335374107,MYS,Malaysia,english,malaysian,,english,en
0.097649847,0.004500654,0.582945999,0.622148406,0.112361463,MLI,Mali,french ,,,french,fr
0.456612114,0.017673254,0.527061326,0.696382,0.233288406,MEX,Mexico,spanish,,,spanish,es
0.188290255,0.016184202,0.295095474,0.665379099,0.156400345,MAR,Morocco,arabic,berber,french,french,fr
0.238038107,0.001301014,0.954524945,0.586207836,0.114733929,MOZ,Mozambique,portuguese,,,portuguese,pt
0.161205928,0.003891791,0.868466501,0.565281525,0.132475962,MMR,Myanmar (Burma),burmese,english,,english,en
0.1077712,0.001781287,0.923817929,0.645875683,0.103452978,NPL,Nepal,nepali,english,,english,en
0.1940574,0.272197538,0.665260187,0.771854053,0.405821714,NLD,Netherlands,dutch ,,,dutch,nl
0.382509726,0.307434206,0.721666474,0.751832408,0.502589094,NZL,New Zealand,english,m?ori,,english,en
0.2150487,0.018026086,0.572339383,0.726431909,0.200364927,NIC,Nicaragua,spanish,,,spanish,es
0.145236437,0.002216113,0.467107958,0.580358584,0.096648535,NER,Niger,french ,,,french,fr
0.236273671,0.029147654,0.561883467,0.654708763,0.224351168,NGA,Nigeria,english,,,english,en
0.175909826,0.321330912,0.708567594,0.792592618,0.422103039,NOR,Norway,norwegian,english,,english,en
0.112804987,0.006854266,0.284778651,0.704481713,0.11160062,PAK,Pakistan,urdu,english,,english,en
0.346492423,0.020221318,0.58573962,0.701758366,0.231658825,PAN,Panama,spanish,,,spanish,es
0.197239409,0.019665433,0.674545342,0.68206817,0.205534169,PRY,Paraguay,spanish,,,spanish,es
0.310559431,0.011754056,0.764405881,0.718281734,0.211586441,PER,Peru,spanish,,,spanish,es
0.293582909,0.007495863,0.586968396,0.650684405,0.170268526,PHL,Philippines,filipino,english,,english,en
0.187151734,0.017411132,0.569174803,0.76792673,0.194265902,POL,Poland,polish,english,,english,en
0.183003028,0.043434398,0.549816276,0.693284502,0.234614739,ROU,Romania,romanian,english,,english,en
0.475817632,0.03822064,0.655105673,0.753659169,0.307826644,RUS,Russia,russian,english,,english,en
0.217882129,0.001520321,1,0.642224575,0.120770524,RWA,Rwanda,kinyarwanda ,english,,english,en
0.170334726,0.118443169,0.23252229,0.726285618,0.241599657,SAU,Saudi Arabia,arabic,english,,english,en
0.116498106,0.001818915,0.523491031,0.662337754,0.092582732,SEN,Senegal,french ,,,french,fr
0.212396767,0.004269226,0.754251366,0.521911749,0.137452469,SLE,Sierra Leone,english,,,english,en
0.121761342,0.056227188,0.595592777,0.736567124,0.234101602,SVK,Slovakia,slovak,english,,english,en
0.296816573,0.031718713,0.536798539,0.709203637,0.244678887,ZAF,South Africa,english,,,english,en
0.245889845,0.135279953,0.605515447,0.77125812,0.353040682,ESP,Spain,spanish,,,spanish,es
0.184763409,0.00499843,0.351385818,0.709726348,0.123191623,LKA,Sri Lanka,sinhala,tamil,english,english,en
0.136541137,0.009245715,0.281869086,0.595458685,0.12064957,SDN,Sudan,arabic,english,,english,en
0.168037593,0.252171982,0.704835013,0.784577161,0.39125203,SWE,Sweden,swedish,english,,english,en
0.182578468,0.120934191,0.725364299,0.801006722,0.336548571,CHE,Switzerland,german,french,italian,french,fr
0.121357771,0.005927973,0.690287143,0.690188985,0.136063896,TJK,Tajikistan,tajik,english,,english,en
0.157932967,0.00800354,0.728076777,0.742303069,0.161669589,THA,Thailand,thai,english,,english,en
0.122912588,0.003653693,0.939478587,0.658649894,0.129112264,TGO,Togo,french ,,,french,fr
0.12775816,0.018201826,0.29115422,0.731998097,0.14920527,TUN,Tunisia,arabic,french,,french,fr
0.206668475,0.036249755,0.351977012,0.748572324,0.210781186,TUR,Turkey,turkish,english,,english,en
0.224139454,0.001913667,0.954397415,0.62847342,0.126648549,UGA,Uganda,english,swahili,,english,en
0.156735181,0.020614796,0.605503862,0.715078252,0.193398902,UKR,Ukraine,ukrainian,english,,english,en
0.101748502,0.069475741,0.484623321,0.751573015,0.225260049,ARE,United Arab Emirates,arabic,english,,english,en
0.379836434,0.142064749,0.660206101,0.788516981,0.4093958,GBR,United Kingdom,english,,,english,en
0.247490987,0.002237117,0.857639671,0.595424045,0.129671587,TZA,Tanzania,swahili,english,,english,en
0.446487757,0.262754752,0.647663681,0.761401296,0.490434284,USA,United States,english,,,english,en
0.184558264,0.070938692,0.643467368,0.693939624,0.276513425,URY,Uruguay,spanish,,,spanish,es
0.378276779,0.115751659,0.596856265,0.579985042,0.350877778,VEN,Venezuela,spanish,,,spanish,es
0.175624873,0.002971429,0.856248609,0.682589759,0.132153219,VNM,Vietnam,vietnamese,french,,french,fr
0.160815995,0.004000641,0.301540578,0.639863637,0.105553587,YEM,Yemen,arabic,english,,english,en
0.239130781,0.002506383,0.809707064,0.574671093,0.129228277,ZMB,Zambia,english,,,english,en
